utc_time,latitude,longitude,pressure_dbar,temperature_c,conductivity_sm,turbidity_ftu,oxygen_raw_v,orp
2025-04-11T18:49:22Z,27.112684,-165.447109,18.096000,21.187100,4.934346,0.633000,2.596300,127.594630
2025-04-11T18:49:23Z,27.112686,-165.447105,17.986000,21.187300,4.934336,0.622000,2.596100,127.594630
2025-04-11T18:49:24Z,27.112688,-165.447102,17.949000,21.186800,4.934305,0.624000,2.596300,127.594630
2025-04-11T18:49:25Z,27.112690,-165.447098,17.909000,21.186500,4.934270,0.626000,2.596700,127.594630
2025-04-11T18:49:26Z,27.112692,-165.447095,17.894000,21.186500,4.934251,0.625000,2.596100,127.594630
2025-04-11T18:49:27Z,27.112695,-165.447091,17.878000,21.186400,4.934259,0.625000,2.595800,127.594630
2025-04-11T18:49:28Z,27.112697,-165.447087,17.858000,21.186400,4.934262,0.623000,2.594900,127.594630
2025-04-11T18:49:29Z,27.112699,-165.447084,17.994000,21.187300,4.934355,0.622000,2.594800,127.523410
2025-04-11T18:49:30Z,27.112701,-165.447080,18.193000,21.187100,4.934366,0.622000,2.595400,127.574280
2025-04-11T18:49:31Z,27.112703,-165.447077,18.472000,21.187000,4.934358,0.626000,2.595400,127.523410
2025-04-11T18:49:32Z,27.112705,-165.447073,18.816000,21.188100,4.934505,0.625000,2.595400,127.513230
2025-04-11T18:49:33Z,27.112707,-165.447070,19.168000,21.188000,4.934501,0.630000,2.595700,127.492880
2025-04-11T18:49:34Z,27.112710,-165.447066,19.587000,21.188100,4.934544,0.626000,2.595700,127.492880
2025-04-11T18:49:35Z,27.112712,-165.447062,20.004000,21.188200,4.934565,0.625000,2.595900,127.462360
2025-04-11T18:49:36Z,27.112714,-165.447059,20.448000,21.188300,4.934589,0.629000,2.595700,127.482710
2025-04-11T18:49:37Z,27.112716,-165.447055,20.955000,21.188300,4.934623,0.631000,2.595200,127.472530
2025-04-11T18:49:38Z,27.112718,-165.447052,21.465000,21.188100,4.934615,0.630000,2.594800,127.442000
2025-04-11T18:49:39Z,27.112720,-165.447048,21.924000,21.188000,4.934636,0.628000,2.594500,127.482710
2025-04-11T18:49:40Z,27.112723,-165.447044,22.433000,21.187900,4.934666,0.626000,2.594000,127.452180
2025-04-11T18:49:41Z,27.112725,-165.447041,22.948000,21.187900,4.934661,0.630000,2.593700,127.503060
2025-04-11T18:49:42Z,27.112727,-165.447037,23.369000,21.188100,4.934702,0.629000,2.593600,127.482700
2025-04-11T18:49:43Z,27.112729,-165.447034,23.826000,21.188100,4.934723,0.630000,2.592900,127.533580
2025-04-11T18:49:44Z,27.112731,-165.447030,24.362000,21.188100,4.934732,0.630000,2.592300,127.503060
2025-04-11T18:49:45Z,27.112733,-165.447027,24.810000,21.188200,4.934772,0.632000,2.592500,127.513230
2025-04-11T18:49:46Z,27.112735,-165.447023,25.236000,21.188100,4.934790,0.632000,2.593300,127.503060
2025-04-11T18:49:47Z,27.112738,-165.447019,25.712000,21.188200,4.934798,0.630000,2.593500,127.543760
2025-04-11T18:49:48Z,27.112740,-165.447016,26.075000,21.188200,4.934809,0.636000,2.594000,127.482710
2025-04-11T18:49:49Z,27.112742,-165.447012,26.554000,21.188300,4.934859,0.639000,2.594100,127.492880
2025-04-11T18:49:50Z,27.112744,-165.447009,26.953000,21.188600,4.934909,0.632000,2.594300,127.523410
2025-04-11T18:49:51Z,27.112746,-165.447005,27.383000,21.188200,4.934897,0.632000,2.594100,127.472530
2025-04-11T18:49:52Z,27.112748,-165.447001,27.804000,21.188200,4.934916,0.633000,2.594300,127.543760
2025-04-11T18:49:53Z,27.112750,-165.446998,28.199000,21.188000,4.934912,0.633000,2.594500,127.472530
2025-04-11T18:49:54Z,27.112753,-165.446994,28.562000,21.188700,4.934985,0.629000,2.593900,127.503060
2025-04-11T18:49:55Z,27.112755,-165.446991,29.011000,21.189000,4.935055,0.631000,2.592600,127.503060
2025-04-11T18:49:56Z,27.112757,-165.446987,29.367000,21.188500,4.934998,0.631000,2.592000,127.462360
2025-04-11T18:49:57Z,27.112759,-165.446984,29.730000,21.188200,4.934985,0.639000,2.591400,127.553930
2025-04-11T18:49:58Z,27.112761,-165.446980,30.143000,21.188300,4.935009,0.634000,2.591300,127.452180
2025-04-11T18:49:59Z,27.112763,-165.446976,30.478000,21.188400,4.935033,0.636000,2.590900,127.452180
2025-04-11T18:50:00Z,27.112766,-165.446973,30.886000,21.188400,4.935066,0.636000,2.590500,127.421650
2025-04-11T18:50:01Z,27.112768,-165.446969,31.169000,21.188500,4.935081,0.636000,2.591000,127.421650
2025-04-11T18:50:02Z,27.112770,-165.446966,31.578000,21.188600,4.935099,0.636000,2.591000,127.472530
2025-04-11T18:50:03Z,27.112772,-165.446963,31.861000,21.188600,4.935125,0.635000,2.591100,127.431830
2025-04-11T18:50:04Z,27.112774,-165.446960,32.160000,21.188800,4.935156,0.638000,2.590000,127.370780
2025-04-11T18:50:05Z,27.112776,-165.446957,32.529000,21.189100,4.935211,0.637000,2.590000,127.360600
2025-04-11T18:50:06Z,27.112778,-165.446954,32.801000,21.189100,4.935223,0.634000,2.589800,127.391130
2025-04-11T18:50:07Z,27.112780,-165.446951,33.124000,21.189300,4.935243,0.634000,2.589600,127.350430
2025-04-11T18:50:08Z,27.112782,-165.446948,33.424000,21.189300,4.935279,0.636000,2.589400,127.350430
2025-04-11T18:50:09Z,27.112784,-165.446945,33.743000,21.189000,4.935240,0.637000,2.589400,127.350430
2025-04-11T18:50:10Z,27.112786,-165.446942,34.069000,21.189000,4.935266,0.637000,2.589900,127.350430
2025-04-11T18:50:11Z,27.112788,-165.446939,34.399000,21.189100,4.935300,0.635000,2.590100,127.350430
2025-04-11T18:50:12Z,27.112790,-165.446936,34.689000,21.189600,4.935353,0.636000,2.590600,127.350430
2025-04-11T18:50:13Z,27.112792,-165.446933,35.005000,21.189800,4.935389,0.638000,2.590500,127.330080
2025-04-11T18:50:14Z,27.112795,-165.446930,35.352000,21.189900,4.935413,0.643000,2.591200,127.350430
2025-04-11T18:50:15Z,27.112797,-165.446927,35.680000,21.190100,4.935434,0.638000,2.591200,127.340250
2025-04-11T18:50:16Z,27.112798,-165.446924,36.027000,21.190200,4.935450,0.637000,2.591100,127.350430
2025-04-11T18:50:17Z,27.112798,-165.446919,36.366000,21.190300,4.935496,0.638000,2.590500,127.340250
2025-04-11T18:50:18Z,27.112798,-165.446914,36.711000,21.190600,4.935535,0.638000,2.590500,127.340250
2025-04-11T18:50:19Z,27.112798,-165.446910,37.062000,21.190800,4.935573,0.638000,2.590100,127.340250
2025-04-11T18:50:20Z,27.112798,-165.446905,37.396000,21.190800,4.935601,0.640000,2.589600,127.330080
2025-04-11T18:50:21Z,27.112798,-165.446901,37.738000,21.190900,4.935622,0.638000,2.589300,127.319900
2025-04-11T18:50:22Z,27.112798,-165.446896,38.127000,21.190900,4.935644,0.640000,2.589800,127.309730
2025-04-11T18:50:23Z,27.112799,-165.446891,38.436000,21.191000,4.935666,0.639000,2.589700,127.340250
2025-04-11T18:50:24Z,27.112801,-165.446887,38.853000,21.191100,4.935677,0.638000,2.589800,127.330080
2025-04-11T18:50:25Z,27.112803,-165.446882,39.155000,21.191100,4.935714,0.641000,2.589500,127.350430
2025-04-11T18:50:26Z,27.112805,-165.446878,39.571000,21.191000,4.935714,0.660000,2.589400,127.330080
2025-04-11T18:50:27Z,27.112807,-165.446873,39.914000,21.190700,4.935705,0.644000,2.588900,127.330080
2025-04-11T18:50:28Z,27.112809,-165.446868,40.252000,21.190700,4.935731,0.638000,2.588600,127.340250
2025-04-11T18:50:29Z,27.112812,-165.446864,40.523000,21.190800,4.935744,0.640000,2.588100,127.289380
2025-04-11T18:50:30Z,27.112814,-165.446861,40.798000,21.190900,4.935752,0.641000,2.587600,127.289380
2025-04-11T18:50:31Z,27.112816,-165.446860,41.119000,21.191000,4.935785,0.641000,2.587700,127.228330
2025-04-11T18:50:32Z,27.112818,-165.446859,41.399000,21.191000,4.935798,0.640000,2.587400,127.258850
2025-04-11T18:50:33Z,27.112820,-165.446859,41.678000,21.191200,4.935834,0.640000,2.587300,127.218150
2025-04-11T18:50:34Z,27.112823,-165.446858,41.895000,21.191500,4.935898,0.642000,2.587700,127.146930
2025-04-11T18:50:35Z,27.112825,-165.446857,42.108000,21.191600,4.935914,0.647000,2.587800,127.157110
2025-04-11T18:50:36Z,27.112827,-165.446856,42.318000,21.191600,4.935913,0.649000,2.587400,127.167280
2025-04-11T18:50:37Z,27.112827,-165.446830,42.658000,21.191600,4.935942,0.640000,2.587100,127.116400
2025-04-11T18:50:38Z,27.112825,-165.446777,42.792000,21.191800,4.935962,0.640000,2.587000,127.116400
