utc_time,pressure_dbar,temperature_c,conductivity_sm,turbidity_ftu,oxygen_raw_v,orp
2025-04-11T18:51:44Z,10.519,21.1878,4.934140,0.613,2.5986,127.60684
2025-04-11T18:51:45Z,11.130,21.1878,4.934090,0.616,2.5974,127.59463
2025-04-11T18:51:46Z,11.813,21.1875,4.934110,0.614,2.5966,127.59463
2025-04-11T18:51:47Z,12.339,21.1873,4.934120,0.616,2.5964,127.59463
2025-04-11T18:51:48Z,12.877,21.1873,4.934135,0.615,2.5960,127.59463
2025-04-11T18:51:49Z,13.385,21.1873,4.934164,0.616,2.5963,127.59463
2025-04-11T18:51:50Z,13.951,21.1872,4.934169,0.618,2.5960,127.59463
2025-04-11T18:51:51Z,14.398,21.1871,4.934198,0.618,2.5960,127.58446
2025-04-11T18:51:52Z,14.813,21.1877,4.934237,0.668,2.5963,127.59463
2025-04-11T18:51:53Z,15.195,21.1877,4.934282,0.621,2.5963,127.59463
2025-04-11T18:51:54Z,15.547,21.1873,4.934227,0.616,2.5963,127.59463
2025-04-11T18:51:55Z,15.936,21.1873,4.934285,0.619,2.5962,127.59463
2025-04-11T18:51:56Z,16.271,21.1873,4.934284,0.623,2.5959,127.59463
2025-04-11T18:51:57Z,16.603,21.1873,4.934314,0.622,2.5959,127.59463
2025-04-11T18:51:58Z,16.915,21.1875,4.934326,0.620,2.5955,127.59463
2025-04-11T18:51:59Z,17.165,21.1870,4.934306,0.623,2.5956,127.59463
2025-04-11T18:52:00Z,17.434,21.1870,4.934324,0.623,2.5957,127.59463
2025-04-11T18:52:01Z,17.685,21.1870,4.934324,0.623,2.5963,127.60481
2025-04-11T18:52:02Z,17.778,21.1868,4.934303,0.623,2.5963,127.59463
2025-04-11T18:52:03Z,17.941,21.1872,4.934334,0.622,2.5963,127.59463
2025-04-11T18:52:04Z,18.063,21.1873,4.934358,0.622,2.5968,127.59463
2025-04-11T18:52:05Z,18.160,21.1873,4.934345,0.622,2.5963,127.59463
2025-04-11T18:52:06Z,18.229,21.1872,4.934362,0.621,2.5963,127.59463
2025-04-11T18:52:07Z,18.229,21.1873,4.934345,0.622,2.5964,127.59463
