time,depth_m,temperature
2025-04-11T20:27:59Z,1451.0,4.32
2025-04-11T20:28:14Z,1453.9,4.31
2025-04-11T20:28:29Z,1456.8,4.3
2025-04-11T20:28:44Z,1459.6,4.28
2025-04-11T20:28:59Z,1462.5,4.27
2025-04-11T20:29:14Z,1465.4,4.26
2025-04-11T20:29:29Z,1468.3,4.25
2025-04-11T20:29:44Z,1471.2,4.24
2025-04-11T20:29:59Z,1474.1,4.22
2025-04-11T20:30:14Z,1476.9,4.21
2025-04-11T20:30:29Z,1479.8,4.2
2025-04-11T20:30:44Z,1482.7,4.19
2025-04-11T20:30:59Z,1485.6,4.17
2025-04-11T20:31:14Z,1488.5,4.16
2025-04-11T20:31:29Z,1491.4,4.15
2025-04-11T20:31:44Z,1494.2,4.14
2025-04-11T20:31:59Z,1497.1,4.13
2025-04-11T20:32:14Z,1500.0,4.11
2025-04-11T20:32:29Z,1500.5,4.11
2025-04-11T20:32:44Z,1500.9,4.11
2025-04-11T20:32:59Z,1501.3,4.11
2025-04-11T20:33:14Z,1501.8,4.11
2025-04-11T20:33:29Z,1502.2,4.1
2025-04-11T20:33:44Z,1502.7,4.1
2025-04-11T20:33:59Z,1503.2,4.1
2025-04-11T20:34:14Z,1503.6,4.1
2025-04-11T20:34:29Z,1504.0,4.1
2025-04-11T20:34:44Z,1504.5,4.1
2025-04-11T20:34:59Z,1504.0,4.1
2025-04-11T20:35:14Z,1503.6,4.1
2025-04-11T20:35:29Z,1503.2,4.1
2025-04-11T20:35:44Z,1502.7,4.1
2025-04-11T20:35:59Z,1502.2,4.1
2025-04-11T20:36:14Z,1501.8,4.11
2025-04-11T20:36:29Z,1501.3,4.11
2025-04-11T20:36:44Z,1500.9,4.11
2025-04-11T20:36:59Z,1500.5,4.11
2025-04-11T20:37:14Z,1500.0,4.11
2025-04-11T20:37:29Z,1498.0,4.12
2025-04-11T20:37:44Z,1496.0,4.13
2025-04-11T20:37:59Z,1494.0,4.14
2025-04-11T20:38:14Z,1492.0,4.15
2025-04-11T20:38:29Z,1490.0,4.16
2025-04-11T20:38:44Z,1488.0,4.16
2025-04-11T20:38:59Z,1486.0,4.17
2025-04-11T20:39:14Z,1484.0,4.18
2025-04-11T20:39:29Z,1482.0,4.19
2025-04-11T20:39:44Z,1480.0,4.2
2025-04-11T20:39:59Z,1478.0,4.21
2025-04-11T20:40:14Z,1476.0,4.21
2025-04-11T20:40:29Z,1474.0,4.22
2025-04-11T20:40:44Z,1472.0,4.23
2025-04-11T20:40:59Z,1470.0,4.24
2025-04-11T20:41:14Z,1468.0,4.25
2025-04-11T20:41:29Z,1466.0,4.26
2025-04-11T20:41:44Z,1464.0,4.27
2025-04-11T20:41:59Z,1462.0,4.27
2025-04-11T20:42:14Z,1460.0,4.28
2025-04-11T20:42:29Z,1458.0,4.29
2025-04-11T20:42:44Z,1456.0,4.3
2025-04-11T20:42:59Z,1454.0,4.31
